module,java_file,kind,java_name,rust_path
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/request/ProfitSharingReturnQueryRequest.java,class,ProfitSharingReturnQueryRequest,profitsharing/request/profit_sharing_return_query_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/request/ProfitSharingReturnRequest.java,class,ProfitSharingReturnRequest,profitsharing/request/profit_sharing_return_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/request/ProfitSharingReturnV3Request.java,class,ProfitSharingReturnV3Request,profitsharing/request/profit_sharing_return_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/request/ProfitSharingUnfreezeRequest.java,class,ProfitSharingUnfreezeRequest,profitsharing/request/profit_sharing_unfreeze_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/request/ProfitSharingUnfreezeV3Request.java,class,ProfitSharingUnfreezeV3Request,profitsharing/request/profit_sharing_unfreeze_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/request/ProfitSharingV3Request.java,class,ProfitSharingV3Request,profitsharing/request/profit_sharing_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingBillV3Result.java,class,ProfitSharingBillV3Result,profitsharing/result/profit_sharing_bill_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingMerchantRatioQueryResult.java,class,ProfitSharingMerchantRatioQueryResult,profitsharing/result/profit_sharing_merchant_ratio_query_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingMerchantRatioQueryV3Result.java,class,ProfitSharingMerchantRatioQueryV3Result,profitsharing/result/profit_sharing_merchant_ratio_query_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingOrderAmountQueryResult.java,class,ProfitSharingOrderAmountQueryResult,profitsharing/result/profit_sharing_order_amount_query_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingOrderAmountQueryV3Result.java,class,ProfitSharingOrderAmountQueryV3Result,profitsharing/result/profit_sharing_order_amount_query_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingQueryResult.java,class,ProfitSharingQueryResult,profitsharing/result/profit_sharing_query_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingReceiverResult.java,class,ProfitSharingReceiverResult,profitsharing/result/profit_sharing_receiver_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingReceiverV3Result.java,class,ProfitSharingReceiverV3Result,profitsharing/result/profit_sharing_receiver_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingResult.java,class,ProfitSharingResult,profitsharing/result/profit_sharing_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingReturnResult.java,class,ProfitSharingReturnResult,profitsharing/result/profit_sharing_return_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingReturnV3Result.java,class,ProfitSharingReturnV3Result,profitsharing/result/profit_sharing_return_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingUnfreezeV3Result.java,class,ProfitSharingUnfreezeV3Result,profitsharing/result/profit_sharing_unfreeze_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/profitsharing/result/ProfitSharingV3Result.java,class,ProfitSharingV3Result,profitsharing/result/profit_sharing_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/realname/RealNameRequest.java,class,RealNameRequest,bean/realname/real_name_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/realname/RealNameResult.java,class,RealNameResult,bean/realname/real_name_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/BaseWxPayRequest.java,class,BaseWxPayRequest,bean/request/base_wx_pay_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/CombineCloseRequest.java,class,CombineCloseRequest,bean/request/combine_close_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/CombineTransactionsRequest.java,class,CombineTransactionsRequest,bean/request/combine_transactions_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxDepositConsumeRequest.java,class,WxDepositConsumeRequest,bean/request/wx_deposit_consume_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxDepositOrderQueryRequest.java,class,WxDepositOrderQueryRequest,bean/request/wx_deposit_order_query_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxDepositRefundRequest.java,class,WxDepositRefundRequest,bean/request/wx_deposit_refund_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxDepositUnfreezeRequest.java,class,WxDepositUnfreezeRequest,bean/request/wx_deposit_unfreeze_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxDepositUnifiedOrderRequest.java,class,WxDepositUnifiedOrderRequest,bean/request/wx_deposit_unified_order_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxH5EntrustRequest.java,class,WxH5EntrustRequest,bean/request/wx_h5_entrust_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxMaEntrustRequest.java,class,WxMaEntrustRequest,bean/request/wx_ma_entrust_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxMpEntrustRequest.java,class,WxMpEntrustRequest,bean/request/wx_mp_entrust_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayApplyFundFlowBillV3Request.java,class,WxPayApplyFundFlowBillV3Request,bean/request/wx_pay_apply_fund_flow_bill_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayApplyTradeBillV3Request.java,class,WxPayApplyTradeBillV3Request,bean/request/wx_pay_apply_trade_bill_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayAuthcode2OpenidRequest.java,class,WxPayAuthcode2OpenidRequest,bean/request/wx_pay_authcode2_openid_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayCodepayRequest.java,class,WxPayCodepayRequest,bean/request/wx_pay_codepay_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayDefaultRequest.java,class,WxPayDefaultRequest,bean/request/wx_pay_default_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayDownloadBillRequest.java,class,WxPayDownloadBillRequest,bean/request/wx_pay_download_bill_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayDownloadFundFlowRequest.java,class,WxPayDownloadFundFlowRequest,bean/request/wx_pay_download_fund_flow_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayEntrustRequest.java,class,WxPayEntrustRequest,bean/request/wx_pay_entrust_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayFaceAuthInfoRequest.java,class,WxPayFaceAuthInfoRequest,bean/request/wx_pay_face_auth_info_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayFacepayRequest.java,class,WxPayFacepayRequest,bean/request/wx_pay_facepay_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayMicropayRequest.java,class,WxPayMicropayRequest,bean/request/wx_pay_micropay_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayOrderCloseRequest.java,class,WxPayOrderCloseRequest,bean/request/wx_pay_order_close_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayOrderCloseV3Request.java,class,WxPayOrderCloseV3Request,bean/request/wx_pay_order_close_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayOrderQueryRequest.java,class,WxPayOrderQueryRequest,bean/request/wx_pay_order_query_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayOrderQueryV3Request.java,class,WxPayOrderQueryV3Request,bean/request/wx_pay_order_query_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayOrderReverseRequest.java,class,WxPayOrderReverseRequest,bean/request/wx_pay_order_reverse_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayOrderReverseV3Request.java,class,WxPayOrderReverseV3Request,bean/request/wx_pay_order_reverse_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayPartnerOrderCloseV3Request.java,class,WxPayPartnerOrderCloseV3Request,bean/request/wx_pay_partner_order_close_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayPartnerOrderQueryV3Request.java,class,WxPayPartnerOrderQueryV3Request,bean/request/wx_pay_partner_order_query_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayPartnerRefundV3Request.java,class,WxPayPartnerRefundV3Request,bean/request/wx_pay_partner_refund_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayPartnerUnifiedOrderV3Request.java,class,WxPayPartnerUnifiedOrderV3Request,bean/request/wx_pay_partner_unified_order_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayQueryCommentRequest.java,class,WxPayQueryCommentRequest,bean/request/wx_pay_query_comment_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayQueryExchangeRateRequest.java,class,WxPayQueryExchangeRateRequest,bean/request/wx_pay_query_exchange_rate_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayRedpackQueryRequest.java,class,WxPayRedpackQueryRequest,bean/request/wx_pay_redpack_query_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayRefundQueryRequest.java,class,WxPayRefundQueryRequest,bean/request/wx_pay_refund_query_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayRefundQueryV3Request.java,class,WxPayRefundQueryV3Request,bean/request/wx_pay_refund_query_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayRefundRequest.java,class,WxPayRefundRequest,bean/request/wx_pay_refund_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayRefundV3Request.java,class,WxPayRefundV3Request,bean/request/wx_pay_refund_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayReportRequest.java,class,WxPayReportRequest,bean/request/wx_pay_report_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPaySendMiniProgramRedpackRequest.java,class,WxPaySendMiniProgramRedpackRequest,bean/request/wx_pay_send_mini_program_redpack_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPaySendRedpackRequest.java,class,WxPaySendRedpackRequest,bean/request/wx_pay_send_redpack_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayShorturlRequest.java,class,WxPayShorturlRequest,bean/request/wx_pay_shorturl_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayUnifiedOrderRequest.java,class,WxPayUnifiedOrderRequest,bean/request/wx_pay_unified_order_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayUnifiedOrderV3GlobalRequest.java,class,WxPayUnifiedOrderV3GlobalRequest,bean/request/wx_pay_unified_order_v3_global_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPayUnifiedOrderV3Request.java,class,WxPayUnifiedOrderV3Request,bean/request/wx_pay_unified_order_v3_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxPreWithholdRequest.java,class,WxPreWithholdRequest,bean/request/wx_pre_withhold_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxSignQueryRequest.java,class,WxSignQueryRequest,bean/request/wx_sign_query_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxTerminatedContractRequest.java,class,WxTerminatedContractRequest,bean/request/wx_terminated_contract_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxWithholdOrderQueryRequest.java,class,WxWithholdOrderQueryRequest,bean/request/wx_withhold_order_query_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/request/WxWithholdRequest.java,class,WxWithholdRequest,bean/request/wx_withhold_request.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/BaseWxPayResult.java,class,BaseWxPayResult,bean/result/base_wx_pay_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/BaseWxPayV3Result.java,class,BaseWxPayV3Result,bean/result/base_wx_pay_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/CombineQueryResult.java,class,CombineQueryResult,bean/result/combine_query_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/CombineTransactionsResult.java,class,CombineTransactionsResult,bean/result/combine_transactions_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxDepositConsumeResult.java,class,WxDepositConsumeResult,bean/result/wx_deposit_consume_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxDepositOrderQueryResult.java,class,WxDepositOrderQueryResult,bean/result/wx_deposit_order_query_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxDepositRefundResult.java,class,WxDepositRefundResult,bean/result/wx_deposit_refund_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxDepositUnfreezeResult.java,class,WxDepositUnfreezeResult,bean/result/wx_deposit_unfreeze_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxDepositUnifiedOrderResult.java,class,WxDepositUnifiedOrderResult,bean/result/wx_deposit_unified_order_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxH5EntrustResult.java,class,WxH5EntrustResult,bean/result/wx_h5_entrust_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayApplyBillV3Result.java,class,WxPayApplyBillV3Result,bean/result/wx_pay_apply_bill_v3_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayAuthcode2OpenidResult.java,class,WxPayAuthcode2OpenidResult,bean/result/wx_pay_authcode2_openid_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayBillInfo.java,class,WxPayBillInfo,bean/result/wx_pay_bill_info.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayBillResult.java,class,WxPayBillResult,bean/result/wx_pay_bill_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayCodepayResult.java,class,WxPayCodepayResult,bean/result/wx_pay_codepay_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayCommonResult.java,class,WxPayCommonResult,bean/result/wx_pay_common_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayEntrustResult.java,class,WxPayEntrustResult,bean/result/wx_pay_entrust_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayFaceAuthInfoResult.java,class,WxPayFaceAuthInfoResult,bean/result/wx_pay_face_auth_info_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayFacepayResult.java,class,WxPayFacepayResult,bean/result/wx_pay_facepay_result.rs
weixin-java-pay,com/github/binarywang/wxpay/bean/result/WxPayFundFlowBaseResult.java,class,WxPayFundFlowBaseResult,bean/result/wx_pay_fund_flow_base_result.rs
